Date,Day of week,Swim,Bike,Run,Other,Notes
1-Jan-11,Saturday,,,,,
2-Jan-11,Sunday,,,,,
3-Jan-11,Monday,,,,,
4-Jan-11,Tuesday,,,3,,
5-Jan-11,Wednesday,,,,,
6-Jan-11,Thursday,,,,,
7-Jan-11,Friday,,,,,
8-Jan-11,Saturday,,10,,,stationary bike
9-Jan-11,Sunday,,,3,,treadmill
10-Jan-11,Monday,1,,,,pool
11-Jan-11,Tuesday,,,,,
12-Jan-11,Wednesday,,9,,,stationary bike
13-Jan-11,Thursday,,,3,,treadmill
14-Jan-11,Friday,,,,,
15-Jan-11,Saturday,,,,10,"skate ski: poles 165, ski 190"
16-Jan-11,Sunday,,,,,
17-Jan-11,Monday,,,,,
18-Jan-11,Tuesday,,,,,
19-Jan-11,Wednesday,1,,,,pool
20-Jan-11,Thursday,,,,,
21-Jan-11,Friday,,,,,
22-Jan-11,Saturday,,,3,,treadmill
23-Jan-11,Sunday,,9,,,stationary bike
24-Jan-11,Monday,1,,,,pool
25-Jan-11,Tuesday,,,,,
26-Jan-11,Wednesday,,,3,,treadmill
27-Jan-11,Thursday,,,,,
28-Jan-11,Friday,,,,,
29-Jan-11,Saturday,,,,,
30-Jan-11,Sunday,,,3,,treadmill
31-Jan-11,Monday,,,,,
1-Feb-11,Tuesday,,,,,
2-Feb-11,Wednesday,,,3,,treadmill
3-Feb-11,Thursday,,,,,
4-Feb-11,Friday,,,,,
5-Feb-11,Saturday,,,3,,treadmill
6-Feb-11,Sunday,,10,,,stationary bike
7-Feb-11,Monday,1,,,,pool
8-Feb-11,Tuesday,,,,,
9-Feb-11,Wednesday,,,3,,treadmill
10-Feb-11,Thursday,,,,,
11-Feb-11,Friday,,,,,
12-Feb-11,Saturday,,,3,,treadmill
13-Feb-11,Sunday,,,,,
14-Feb-11,Monday,1,,,,pool
15-Feb-11,Tuesday,,,,,
16-Feb-11,Wednesday,,,,,
17-Feb-11,Thursday,,,,,
18-Feb-11,Friday,,,3,,treadmill
19-Feb-11,Saturday,,10,,,
20-Feb-11,Sunday,,,,,
21-Feb-11,Monday,1,,,,pool
22-Feb-11,Tuesday,,,,,
23-Feb-11,Wednesday,,,3,,treadmill
24-Feb-11,Thursday,,,,,
25-Feb-11,Friday,,,3,,treadmill
26-Feb-11,Saturday,,,,,
27-Feb-11,Sunday,,,3,,
28-Feb-11,Monday,,,,,
1-Mar-11,Tuesday,,,,,
2-Mar-11,Wednesday,,,,,
3-Mar-11,Thursday,,,,,
4-Mar-11,Friday,,,,,
5-Mar-11,Saturday,,,,,
6-Mar-11,Sunday,,,,,
7-Mar-11,Monday,,,,,
8-Mar-11,Tuesday,,,,,
9-Mar-11,Wednesday,,,3,,treadmill
10-Mar-11,Thursday,,,,,
11-Mar-11,Friday,,,3,,treadmill
12-Mar-11,Saturday,,,,,
13-Mar-11,Sunday,,,,,
14-Mar-11,Monday,1,,,,pool
15-Mar-11,Tuesday,,,,,
16-Mar-11,Wednesday,,,,,
17-Mar-11,Thursday,,,,,
18-Mar-11,Friday,,,,,
19-Mar-11,Saturday,,,,,
20-Mar-11,Sunday,,,,,
21-Mar-11,Monday,,,,,
22-Mar-11,Tuesday,,,,,
23-Mar-11,Wednesday,,,3,,treadmill
24-Mar-11,Thursday,1,,,,pool
25-Mar-11,Friday,,,,,
26-Mar-11,Saturday,,,3,,treadmill
27-Mar-11,Sunday,,,,,
28-Mar-11,Monday,1,,,,pool
29-Mar-11,Tuesday,,,,,
30-Mar-11,Wednesday,,,,,
31-Mar-11,Thursday,,,3,,treadmill
1-Apr-11,Friday,,,,,
2-Apr-11,Saturday,,,3,,treadmill
3-Apr-11,Sunday,,17.5,,,PP
4-Apr-11,Monday,1,,,,pool
5-Apr-11,Tuesday,,,,,
6-Apr-11,Wednesday,,,3,,treadmill
7-Apr-11,Thursday,,,,,
8-Apr-11,Friday,,,,,
9-Apr-11,Saturday,,,,,
10-Apr-11,Sunday,,17.5,,,pp
11-Apr-11,Monday,1,,,,pool
12-Apr-11,Tuesday,,,,,
13-Apr-11,Wednesday,,,,,
14-Apr-11,Thursday,,,,,
15-Apr-11,Friday,,,4.5,,dumbo + stairs
16-Apr-11,Saturday,,17.5,,,pp
17-Apr-11,Sunday,,,5,,pp + hills
18-Apr-11,Monday,1,,,,
19-Apr-11,Tuesday,,,,,
20-Apr-11,Wednesday,,,,,
21-Apr-11,Thursday,,,,,
22-Apr-11,Friday,,,,,
23-Apr-11,Saturday,,,,,
24-Apr-11,Sunday,,16,,,southold
25-Apr-11,Monday,1,,,,
26-Apr-11,Tuesday,,,,,
27-Apr-11,Wednesday,,,,,
28-Apr-11,Thursday,,,3,,
29-Apr-11,Friday,,,,,
30-Apr-11,Saturday,,21,,,PP
1-May-11,Sunday,,,5,,PP 1 1/2 loop + 8 hilltops
2-May-11,Monday,1,,,,
3-May-11,Tuesday,,,,,
4-May-11,Wednesday,,,,,
5-May-11,Thursday,,,,,
6-May-11,Friday,,,,,
7-May-11,Saturday,,17.5,,,PP
8-May-11,Sunday,,,7,,PP + 10 hilltops
9-May-11,Monday,,,,,
10-May-11,Tuesday,1,,,,
11-May-11,Wednesday,,,5,,Dumbo + 20 stairs
12-May-11,Thursday,,10.5,,,
13-May-11,Friday,,,,,
14-May-11,Saturday,,21,,,
15-May-11,Sunday,,,7,,PP + 10 hilltops
16-May-11,Monday,1,,,,
17-May-11,Tuesday,,,,,
18-May-11,Wednesday,,,,,
19-May-11,Thursday,,,,,
20-May-11,Friday,,,,,
21-May-11,Saturday,,,,,
22-May-11,Sunday,,,,,
23-May-11,Monday,,,,,
24-May-11,Tuesday,,,,,
25-May-11,Wednesday,,,,,
26-May-11,Thursday,,,,,
27-May-11,Friday,,,,,
28-May-11,Saturday,,,13,,patch sprint
29-May-11,Sunday,,,,,
30-May-11,Monday,,,,,
31-May-11,Tuesday,,14,,,PP
1-Jun-11,Wednesday,1,,,,
2-Jun-11,Thursday,,,,,
3-Jun-11,Friday,,,5,,Dumbo + 20 Stairs
4-Jun-11,Saturday,,21,,,PP
5-Jun-11,Sunday,,,,,
6-Jun-11,Monday,,,,,
7-Jun-11,Tuesday,0.75,,,,
8-Jun-11,Wednesday,,,,,
9-Jun-11,Thursday,,,,,
10-Jun-11,Friday,,,,,
11-Jun-11,Saturday,1,24,6.2,,Mighty Montauk
12-Jun-11,Sunday,,,,,
13-Jun-11,Monday,,,,,
14-Jun-11,Tuesday,,,,,
15-Jun-11,Wednesday,,,,,
16-Jun-11,Thursday,,17,,,PP
17-Jun-11,Friday,1,,,,
18-Jun-11,Saturday,,,6.2,,SI 10K
19-Jun-11,Sunday,,,,,
20-Jun-11,Monday,,,,,
21-Jun-11,Tuesday,1,,,,
22-Jun-11,Wednesday,,,,,
23-Jun-11,Thursday,,14,,,PP
24-Jun-11,Friday,,,1,,treadmill
25-Jun-11,Saturday,,21,,,PP
26-Jun-11,Sunday,,,,,
27-Jun-11,Monday,,,,,
28-Jun-11,Tuesday,,,,,
29-Jun-11,Wednesday,,,,,
30-Jun-11,Thursday,,,,,
1-Jul-11,Friday,,,,,
2-Jul-11,Saturday,,,,,
3-Jul-11,Sunday,,,,,
4-Jul-11,Monday,,14,,,
5-Jul-11,Tuesday,0.25,,,,
6-Jul-11,Wednesday,,,3,,
7-Jul-11,Thursday,,,,,
8-Jul-11,Friday,,,,,
9-Jul-11,Saturday,,,3,,
10-Jul-11,Sunday,0.25,8,3.5,,
11-Jul-11,Monday,,,
12-Jul-11,Tuesday,0.75,,
13-Jul-11,Wednesday,,14,
14-Jul-11,Thursday,,,3
15-Jul-11,Friday,,,
16-Jul-11,Saturday,,16,
17-Jul-11,Sunday,,,
18-Jul-11,Monday,1,,
19-Jul-11,Tuesday,,4,
20-Jul-11,Wednesday,,,4
21-Jul-11,Thursday,,,
22-Jul-11,Friday,,,
23-Jul-11,Saturday,,,
24-Jul-11,Sunday,,,
25-Jul-11,Monday,1,,
26-Jul-11,Tuesday,,14,
27-Jul-11,Wednesday,,,4
28-Jul-11,Thursday,,,
29-Jul-11,Friday,,,5
30-Jul-11,Saturday,,24,
31-Jul-11,Sunday,,5,4
1-Aug-11,Monday,0.75,,
2-Aug-11,Tuesday,,14,
3-Aug-11,Wednesday,,,3
4-Aug-11,Thursday,,,
5-Aug-11,Friday,,8.5,
6-Aug-11,Saturday,,,
7-Aug-11,Sunday,0.5,24.8,6.2
8-Aug-11,Monday,,,
9-Aug-11,Tuesday,,,
10-Aug-11,Wednesday,1,8.5,
11-Aug-11,Thursday,,14,
12-Aug-11,Friday,,,
13-Aug-11,Saturday,,,
14-Aug-11,Sunday,,,
15-Aug-11,Monday,1,,
16-Aug-11,Tuesday,,14,
17-Aug-11,Wednesday,,,
18-Aug-11,Thursday,,,
19-Aug-11,Friday,,,
20-Aug-11,Saturday,,,
21-Aug-11,Sunday,,,4.5
22-Aug-11,Monday,,,
23-Aug-11,Tuesday,,,
24-Aug-11,Wednesday,,,
25-Aug-11,Thursday,1,,
26-Aug-11,Friday,,21,
27-Aug-11,Saturday,,,6
28-Aug-11,Sunday,,,
29-Aug-11,Monday,,,4
30-Aug-11,Tuesday,,,
31-Aug-11,Wednesday,,,
1-Sep-11,Thursday,,,
2-Sep-11,Friday,,,
3-Sep-11,Saturday,0.9,24.8,6.2
4-Sep-11,Sunday,,,
5-Sep-11,Monday,,17.5,
6-Sep-11,Tuesday,,,4.5
7-Sep-11,Wednesday,1,,
8-Sep-11,Thursday,,,
9-Sep-11,Friday,,,3
10-Sep-11,Saturday,,24,
11-Sep-11,Sunday,,,5
12-Sep-11,Monday,1,,
13-Sep-11,Tuesday,,,3
14-Sep-11,Wednesday,,,
15-Sep-11,Thursday,,,
16-Sep-11,Friday,,,4.5
17-Sep-11,Saturday,,21,
18-Sep-11,Sunday,,14,
19-Sep-11,Monday,,,
20-Sep-11,Tuesday,1,,
21-Sep-11,Wednesday,,,
22-Sep-11,Thursday,,,
23-Sep-11,Friday,,,
24-Sep-11,Saturday,,,
25-Sep-11,Sunday,0.9,24.8,6.2
26-Sep-11,Monday,,,
27-Sep-11,Tuesday,,,
28-Sep-11,Wednesday,,,
29-Sep-11,Thursday,,,
30-Sep-11,Friday,,,
1-Oct-11,Saturday,,,
2-Oct-11,Sunday,,,
3-Oct-11,Monday,,,
4-Oct-11,Tuesday,,,3
5-Oct-11,Wednesday,,,
6-Oct-11,Thursday,,,
7-Oct-11,Friday,1,,
8-Oct-11,Saturday,,12,
9-Oct-11,Sunday,,18,
10-Oct-11,Monday,1,,
11-Oct-11,Tuesday,,,3
12-Oct-11,Wednesday,,,
13-Oct-11,Thursday,,,
14-Oct-11,Friday,,,3
15-Oct-11,Saturday,,,
16-Oct-11,Sunday,,24.5,
17-Oct-11,Monday,,,
18-Oct-11,Tuesday,,,
19-Oct-11,Wednesday,1,,
20-Oct-11,Thursday,,,3
21-Oct-11,Friday,,,3
22-Oct-11,Saturday,,,
23-Oct-11,Sunday,,,
24-Oct-11,Monday,1,,
25-Oct-11,Tuesday,,,3
26-Oct-11,Wednesday,,,
27-Oct-11,Thursday,,,
28-Oct-11,Friday,,,
29-Oct-11,Saturday,,,
30-Oct-11,Sunday,,,
31-Oct-11,Monday,,,
1-Nov-11,Tuesday,,,
2-Nov-11,Wednesday,,,
3-Nov-11,Thursday,,,
4-Nov-11,Friday,,,
5-Nov-11,Saturday,,,
6-Nov-11,Sunday,,,
7-Nov-11,Monday,,,
8-Nov-11,Tuesday,,,
9-Nov-11,Wednesday,,,
10-Nov-11,Thursday,,,
11-Nov-11,Friday,,,
12-Nov-11,Saturday,,,7.56
13-Nov-11,Sunday,,14,
14-Nov-11,Monday,,,
15-Nov-11,Tuesday,,,
16-Nov-11,Wednesday,,,
17-Nov-11,Thursday,,,
18-Nov-11,Friday,,,
19-Nov-11,Saturday,,,
20-Nov-11,Sunday,,,
21-Nov-11,Monday,,,
22-Nov-11,Tuesday,1,,
23-Nov-11,Wednesday,,,3
24-Nov-11,Thursday,,,
25-Nov-11,Friday,,,
26-Nov-11,Saturday,,,
27-Nov-11,Sunday,,,
28-Nov-11,Monday,,,
29-Nov-11,Tuesday,,,
30-Nov-11,Wednesday,,,
1-Dec-11,Thursday,,,
2-Dec-11,Friday,,,
3-Dec-11,Saturday,,,
4-Dec-11,Sunday,,,
5-Dec-11,Monday,,,
6-Dec-11,Tuesday,,,
7-Dec-11,Wednesday,,,
8-Dec-11,Thursday,,,
9-Dec-11,Friday,,,
10-Dec-11,Saturday,,,
11-Dec-11,Sunday,,,
12-Dec-11,Monday,1,,
13-Dec-11,Tuesday,,,4.5
14-Dec-11,Wednesday,,,
15-Dec-11,Thursday,,,
16-Dec-11,Friday,,,
17-Dec-11,Saturday,,,
18-Dec-11,Sunday
19-Dec-11,Monday
20-Dec-11,Tuesday
21-Dec-11,Wednesday
22-Dec-11,Thursday
23-Dec-11,Friday
24-Dec-11,Saturday
25-Dec-11,Sunday
26-Dec-11,Monday
27-Dec-11,Tuesday
28-Dec-11,Wednesday
29-Dec-11,Thursday
30-Dec-11,Friday
31-Dec-11,Saturday
